MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE
b'USNO-A2.0 1350-07377610',08 24 28.406,+46 14 09.92,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07391151',08 27 47.952,+45 11 04.13,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07172139',08 06 29.405,+44 36 24.26,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07299697',08 06 26.657,+45 12 45.86,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07189263',08 09 47.650,+44 27 59.76,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07300458',08 06 36.818,+45 08 22.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07283108',08 28 31.898,+44 34 02.46,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07354497',08 19 14.114,+45 47 37.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07312828',08 09 25.054,+45 32 43.48,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07342294',08 16 20.808,+46 19 46.31,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07347916',08 17 39.871,+46 03 00.18,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07322193',08 11 35.016,+45 16 04.62,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07317382',08 10 28.457,+45 53 19.32,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07298906',08 06 16.534,+46 17 18.02,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07277106',08 27 13.922,+44 25 56.10,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07336261',08 14 55.728,+45 30 41.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07336702',08 15 01.495,+45 33 48.82,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07370987',08 22 59.556,+45 18 15.55,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J080826.02+435652.1',08 08 26.023,+43 56 52.16,7.0,7.0,37.0,37.0,0.0,C,O,b'2012ApJS..203...21A'
b'GALEX 2683523088748908098',08 23 40.072,+45 32 11.45,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'USNO-A2.0 1350-07385966',08 26 28.982,+45 31 57.83,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07357587',08 19 57.420,+45 38 04.34,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07277186',08 27 14.938,+44 32 54.31,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1275-07191226',08 10 09.799,+44 21 44.17,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07304479',08 07 30.653,+45 22 24.92,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07302221',08 06 59.172,+45 07 43.10,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07313905',08 09 39.696,+45 49 17.15,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2683523088748906723',08 20 09.197,+45 13 18.41,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07363841',08 21 24.235,+45 51 55.55,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2683206416515204569',08 22 18.881,+49 36 34.24,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'USNO-A2.0 1350-07341040',08 16 02.669,+51 35 35.56,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07383204',08 25 46.596,+49 55 46.52,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07354191',08 19 09.638,+52 03 08.10,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07336850',08 15 02.981,+50 08 12.01,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07359456',08 20 23.436,+51 25 20.71,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2683206403630303653',08 10 58.658,+50 11 45.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2683206437990041267',08 13 41.543,+52 29 01.47,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'LEDA 2402319',08 14 38.4,+51 54 09,5.0,5.0,,,0.0,D,O,b'2003A&A...412...45P'
b'GALEX 2484863430921556776',08 04 19.579,+50 44 25.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07293486',08 05 05.820,+50 19 20.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'2MASS J08341388+5112143',08 34 13.890,+51 12 14.37,7.0,7.0,110.0,100.0,10.0,B,N,b'2003yCat.2246....0C'
b'USNO-A2.0 1350-07314520',08 09 48.127,+50 36 52.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1350-07388298',08 27 03.490,+50 31 49.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'FIRST J081637.4+500339',08 16 37.422,+50 03 39.00,7.0,7.0,92.0,90.0,0.0,C,O,b'2009yCat.2294....0A'
