MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Filename,QuasarProbability
b'QSO J1409+2618',14 09 23.8979,+26 18 21.043,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4713.jpg,0.14881938695907593
b'SDSS J141022.27+264925.3',14 10 22.277,+26 49 25.35,7.0,7.0,56.0,55.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4714.jpg,0.9280638694763184
b'IC 4397',14 17 58.689,+26 24 45.45,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S',./Images/QuasarCandidate_4715.jpg,0.0
b'QSO B1408+262',14 10 33.1,+26 01 25,5.0,5.0,,,0.0,C,O,b'2010A&A...518A..10V',./Images/QuasarCandidate_4716.jpg,0.9294694066047668
b'[CSC85] 1408.1+2659',14 10 21.9,+26 21 29,5.0,5.0,,,0.0,D,,b'',./Images/QuasarCandidate_4717.jpg,2.6413391474022774e-09
b'[CSC85] 1408.0+2660',14 10 13.2,+26 22 04,5.0,5.0,,,0.0,D,,b'',./Images/QuasarCandidate_4718.jpg,7.636724330950528e-05
b'QSO J1427+2709',14 27 03.6115,+27 09 40.262,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4719.jpg,0.8546817898750305
b'[CSC85] 1407.1+2658',14 09 24.0,+26 20 27,5.0,5.0,,,0.0,D,,b'',./Images/QuasarCandidate_4720.jpg,8.589685421611648e-06
b'QSO B1408+266',14 10 57.575,+26 25 02.54,7.0,7.0,56.0,53.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4721.jpg,0.9624857306480408
b'2XMM J140946.8+260732',14 09 46.951,+26 07 32.75,7.0,7.0,57.0,50.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_4722.jpg,0.1302739828824997
b'2MASS J14121839+2531492',14 12 18.39,+25 31 49.3,6.0,6.0,290.0,250.0,6.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4723.jpg,0.03183078393340111
b'QORG J142618.6+261452',14 26 18.6,+26 14 52,5.0,5.0,,,0.0,D,,b'2004A&A...427..387F',./Images/QuasarCandidate_4724.jpg,6.129585727876474e-08
b'[VV2000] J142013.1+253404',14 20 13.0176,+25 34 03.834,8.0,8.0,,,0.0,B,O,b'2009A&A...505..385A',./Images/QuasarCandidate_4725.jpg,0.8778255581855774
b'2MASS J14093538+2606212',14 09 35.39,+26 06 21.3,6.0,6.0,250.0,230.0,109.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_4726.jpg,5.6885284038799e-07
b'[CSC85] 1408.9+2648',14 11 07.3,+26 14 41,5.0,5.0,,,0.0,D,,b'',./Images/QuasarCandidate_4727.jpg,0.0010786867933347821
b'2E  3200',14 10 25.018,+26 03 32.13,7.0,7.0,70.0,60.0,86.0,B,N,b'2003yCat.2246....0C',./Images/QuasarCandidate_4728.jpg,0.9786942005157471
b'IC 4405',14 19 16.560,+26 17 55.02,7.0,7.0,,,0.0,B,I,b'2006AJ....131.1163S',./Images/QuasarCandidate_4729.jpg,0.0
b'QSO B1407+268',14 09 31.5,+26 36 27,5.0,5.0,,,0.0,D,O,b'2013PASA...30....4F',./Images/QuasarCandidate_4730.jpg,0.034196265041828156
